id,createdAt,updatedAt,name,totalCards,imageUrl,points
4,2025-02-17 05:09:32.411139,2025-02-17 14:00:45.726003,PROMO-A,41,https://vishmvrcizpuo7zs.public.blob.vercel-storage.com/expansions/Promo-A-blyPuC0jwnMYHbeLnSRZAegF9rAZfC,PROMO-A
5,2025-02-17 05:13:46.132135,2025-02-17 14:00:16.330995,GENITIC APEX,273,https://vishmvrcizpuo7zs.public.blob.vercel-storage.com/expansions/GENITIC%20APEX-itZbt9cQgt7VtuwNtfI4Kew6tSkS4k,A1
6,2025-02-17 05:14:32.701252,2025-02-17 13:59:53.080087,MYTHICAL ISLAND,85,https://vishmvrcizpuo7zs.public.blob.vercel-storage.com/expansions/MYTHICAL%20ISLAND-Q1cLd8W8Sk97rxYkD6eTz9qZdfvRQS,A1a
7,2025-02-17 05:29:19.705315,2025-02-17 13:59:07.551819,SPACE-TIME SMACKDOWN,206,https://vishmvrcizpuo7zs.public.blob.vercel-storage.com/expansions/SPACE-TIME%20SMACKDOWN-c4Pt7iRerT9R2hqa7u5IvsEcWPkPur,A2
